Time (sec),S:Load (lbs),S:Position (in),Ch:Position (mm),Ch:Load (lbs),Ch:Stress (kPa),Ch:Strain (lbs),Cycles (),Time_P&V (),S:Load_P&V (),S:Position_P&V (),Ch:Position_P&V (),Ch:Load_P&V (),Ch:Stress_P&V (),Ch:Strain_P&V (),Cycles_P&V ()
0.12,-0.007214,0.000025,0.000625,-0.007214,-1.634752,0.000125,0,,,,,,,,
0.14,0.001202,0.000046,0.001172,0.001202,0.272459,0.000234,0,,,,,,,,
0.16,0.001202,0.000066,0.001667,0.001202,0.272459,0.000333,0,,,,,,,,
0.18,0.012424,0.000082,0.002083,0.012424,2.815406,0.000417,0,,,,,,,,
0.2,0.018837,0.000088,0.00224,0.018837,4.268519,0.000448,0,,,,,,,,
0.22,0.016432,0.000102,0.002578,0.016432,3.723602,0.000516,0,,,,,,,,
0.24,0.031261,0.000116,0.002943,0.031261,7.083926,0.000589,0,,,,,,,,
0.26,0.012024,0.000125,0.003177,0.012024,2.724587,0.000635,0,,,,,,,,
0.28,0.019238,0.000139,0.003542,0.019238,4.359339,0.000708,0,,,,,,,,
0.3,0.02044,0.000144,0.003646,0.02044,4.631798,0.000729,0,,,,,,,,
0.32,0.028456,0.000149,0.003776,0.028456,6.448189,0.000755,0,,,,,,,,
0.34,0.043285,0.000163,0.004141,0.043285,9.808513,0.000828,0,,,,,,,,
0.36,0.052904,0.000177,0.004505,0.052904,11.988181,0.000901,0,,,,,,,,
0.38,0.066531,0.000194,0.004922,0.066531,15.076047,0.000984,0,,,,,,,,
0.4,0.049297,0.000212,0.005391,0.049297,11.170806,0.001078,0,,,,,,,,
0.42,0.058515,0.00023,0.005833,0.058515,13.259655,0.001167,0,,,,,,,,
0.44,0.07655,0.000245,0.006224,0.07655,17.346537,0.001245,0,,,,,,,,
0.46,0.105407,0.000257,0.006537,0.105407,23.885546,0.001307,0,,,,,,,,
0.48,0.103804,0.000268,0.006797,0.103804,23.522266,0.001359,0,,,,,,,,
0.5,0.090177,0.000278,0.007057,0.090177,20.434401,0.001411,0,,,,,,,,
0.52,0.084165,0.000284,0.007214,0.084165,19.072109,0.001443,0,,,,,,,,
0.54,0.082562,0.00029,0.00737,0.082562,18.70883,0.001474,0,,,,,,,,
0.56,0.095788,0.000299,0.007604,0.095788,21.705873,0.001521,0,,,,,,,,
0.58,0.113423,0.000311,0.007891,0.113423,25.701935,0.001578,0,,,,,,,,
0.6,0.133462,0.000319,0.008099,0.133462,30.242914,0.00162,0,,,,,,,,
0.62,0.121438,0.000336,0.008542,0.121438,27.518328,0.001708,0,,,,,,,,
0.64,0.131859,0.000347,0.008802,0.131859,29.879635,0.00176,0,,,,,,,,
0.66,0.121839,0.000358,0.009089,0.121839,27.609144,0.001818,0,,,,,,,,
0.68,0.136267,0.000367,0.009323,0.136267,30.878647,0.001865,0,,,,,,,,
0.7,0.144283,0.000381,0.009688,0.144283,32.695038,0.001938,0,,,,,,,,
